steps	episodes	average_discriminator_loss	average_rewards	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates
4966400	9700	-2.22752218071511	3.466698695361614	430.585895690918	0.019451373492338362	3002.4355828857424	-0.0031442105397582053	775680
4976640	9720	-2.4051220496664754	3.4796748148798944	443.99105227661136	0.00964401771818494	2952.1013958740236	0.0007006976194679737	777600
4986880	9740	-2.4854976815800183	3.4879170196652414	426.53203509521484	0.017848165584059168	2607.1558282470705	-0.004422628171741962	778880
4997120	9760	-2.472719261170365	3.5006500906944273	420.0002995300293	0.026734998250553314	2898.142552185059	0.00409292995929718	780800
5007360	9780	-2.4852584411092105	3.509132704734802	435.3764581604004	0.017514011500177055	2948.2826904296876	0.005542747639119625	782080
5017600	9800	-2.4409748899410477	3.5223033134937287	414.4704094848633	0.020681254941336987	2883.090446166992	-0.0025055623333901165	784000
5027840	9820	-2.3069246901413427	3.5314109542369843	429.95381045532224	0.012692302159410456	2877.433829040527	-0.0032614429108798505	785280
5038080	9840	-2.402600192191079	3.5450612001419066	442.02381994628905	0.008162396524963318	3019.0475186157228	0.0010856382362544536	787200
5048320	9860	-2.3066378708626143	3.5543406344652175	451.96410864257814	0.00947923590209705	3175.1184979248046	0.003983011730015278	788480
5058560	9880	-2.3486354758148082	3.5679876774549486	443.80644345092776	0.013707255921305813	3204.5634802246095	-0.002035504700616002	790400
5068800	9900	-2.2716307638371362	3.577178328514099	451.8099708251953	0.015026268187647872	3381.339249267578	0.007905210088938474	791680
5079040	9920	-2.322578652129043	3.5910589150190355	463.1827261962891	0.01790597872920257	3437.2440008544922	0.00019856888800859451	793600
5089280	9940	-2.278411206179764	3.600263425588608	468.0053671875	0.017510335926394057	3322.852446899414	-0.0014766737166792155	794880
5099520	9960	-2.228023118479643	3.6142924855947496	475.51014431762695	0.010800583106780308	3347.599898071289	-0.007051889561116695	796800
5109760	9980	-2.321910473909229	3.623673312664032	486.8598826904297	0.013834296174521555	3522.2346270751955	-0.007140618693083525	798080
5120000	10000	-2.3206129339328037	3.6376761548519134	482.9437398071289	0.015574608849027517	3566.1095852661133	-0.0026403249986469745	800000
5130240	10020	-2.248520327384118	3.6468284776210784	496.13518310546874	0.01603509630190384	3935.306476135254	-1.573478803038597e-05	801280
5140480	10040	-2.1735589205222205	3.6598056864738466	492.12454663085936	0.011254439321147065	3709.220521850586	0.0048154257517308	803200
5150720	10060	-2.331785875080619	3.6682535012960433	467.95211614990234	0.014977759376149955	3998.4432791137697	0.008370104096829891	804480
